indp_code,description,indp_seasonal_index,indp_peak_quarter,indp_peak_excess,median_annual_wage,pct_female,mean_weeks_worked,n_naics6_mapped,total_qwi_emp,n_pums_records,thin_pums_sample,member_naics6
0170,Crop production,1.0,4,0.2257220910999963,26000.0,0.25576804257094427,47.076028847694104,30,21532.954361031185,13366,False,111110;111120;111130;111140;111150;111160;111191;111199;111211;111219;111310;111320;111331;111332;111333;111334;111335;111336;111339;111411;111419;111421;111422;111910;111920;111930;111940;111991;111992;111998
0290,Support activities for agriculture and forestry,0.9633872154004444,4,0.1485918068751049,32000.0,0.34115469654435693,47.872289021936254,8,9364.76523531813,1658,False,115111;115112;115113;115114;115115;115116;115210;115310
8590,"Other amusement, gambling, and recreation industries",0.7474563040297956,3,0.16776210869523872,25000.0,0.44701228975782015,44.90649264406536,9,38903.050028524456,21626,False,713110;713120;713210;713290;713910;713920;713930;713940;713990
7890,"Other schools and instruction, and educational support services",0.5144369029057719,2,0.07245076223292436,20000.0,0.6527792955331108,45.54306163409053,7,13598.780340656742,9395,False,611610;611620;611630;611691;611692;611699;611710
1080,Sugar and confectionery products,0.5126114483094308,4,0.1159696704552746,48000.0,0.4141606796002902,49.06325618403501,5,3139.27161205036,795,False,311313;311314;311340;311351;311352
1090,Fruit and vegetable preserving and specialty food manufacturing,0.5064964868564619,4,0.10405004746232603,47100.0,0.41100199670982407,49.17838530220643,5,5586.516570348906,1528,False,311411;311412;311421;311422;311423
9170,"Civic, social, advocacy organizations, and grantmaking and giving services",0.43424738415973313,3,0.1164187995755689,50000.0,0.6744779781739022,48.7102093815939,7,14371.683189312953,10408,False,813211;813212;813219;813311;813312;813319;813410
7181,"Consumer goods rental, and general rental centers",0.3152334566052015,3,0.05924136674367021,37000.0,0.3323655238614413,47.599563893201235,7,3267.1985467456366,762,False,532210;532281;532282;532283;532284;532289;532310
0770,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),0.279641414279551,4,0.056037470721623746,45000.0,0.11458928614813227,48.8230444926362,31,155146.39339718965,102948,False,236115;236116;236117;236118;236210;236220;237110;237120;237130;237210;237310;237990;238110;238120;238130;238140;238150;238160;238170;238190;238210;238220;238290;238310;238320;238330;238340;238350;238390;238910;238990
7490,"Other professional, scientific, and technical, except veterinary, services",0.27732786526866393,4,0.056262652162061104,43000.0,0.5474939749193252,47.73301948449818,5,7162.783083427676,4786,False,541910;541921;541922;541930;541990
4981,Specialty food retailers,0.24750216590701757,4,0.05322780752678856,25000.0,0.4976142867280871,46.89203134196893,6,4721.9577431400985,2293,False,445230;445240;445250;445291;445292;445298
8680,"Food services and drinking places, except alcoholic beverages",0.24356493334697848,3,0.05244349242736691,19000.0,0.5337038569342638,44.693122581611384,7,212341.8493118436,81217,False,722310;722320;722330;722511;722513;722514;722515
7390,"Management, scientific, and technical consulting services",0.20673653875529452,4,0.04392167598550501,75000.0,0.44018151191864474,49.231049508286944,7,33329.87991927346,21781,False,541611;541612;541613;541614;541618;541620;541690
0470,Nonmetallic mineral mining and quarrying,0.2060353149234425,4,0.04259402534814544,60000.0,0.11705754423088227,49.72180097572445,8,3082.889748578509,1154,False,212311;212312;212313;212319;212321;212322;212323;212390
6570,Motion pictures and video industries,0.20382006261162328,4,0.04600561767886235,44000.0,0.3450338989248181,45.98587272170936,6,12797.713366432725,4891,False,512110;512120;512131;512132;512191;512199
1370,Beverage manufacturing,0.19886663539251967,4,0.03687196880263877,50000.0,0.2953766255448296,49.84630291032895,6,6350.223112355384,3146,False,312111;312112;312113;312120;312130;312140
0180,Animal production and aquaculture,0.19282076113940116,4,0.032699183683873534,24100.0,0.242232276207116,49.09909710939431,18,6698.211434467938,5881,False,112111;112112;112120;112210;112310;112320;112330;112340;112390;112410;112420;112511;112512;112519;112910;112920;112930;112990
7071,"Lessors of real estate, and offices of real estate agents and brokers",0.17284796665483962,4,0.03264699630593534,45000.0,0.5151090154966451,49.19812049445789,5,19577.44298688194,20276,False,531110;531120;531130;531190;531210
8891,Personal and household goods repair and maintenance,0.172180520424155,4,0.031793178564677164,21000.0,0.24144470917345282,48.20232803480199,5,1589.700525749562,1699,False,811411;811412;811420;811430;811490
4580,"Miscellaneous nondurable goods merchant, except farm supplies, wholesalers",0.15959969610536826,4,0.024586408265957604,42000.0,0.4139471421629098,49.27826374091934,5,4074.738321660551,1571,False,424920;424930;424940;424950;424990
6090,Water transportation,0.15666716565183048,4,0.03166547284196726,60000.0,0.27690291927899685,47.918568769592476,6,2968.412230261448,797,False,483111;483112;483113;483114;483211;483212
5581,Other miscellaneous retailers,0.15429301572542561,4,0.029411623523780815,28800.0,0.5248398939664071,47.67315350239279,5,10055.970405747274,6431,False,459910;459920;459930;459991;459999
2570,"Cement, concrete, lime, and gypsum product manufacturing",0.1347809269344496,4,0.023872541945142357,59000.0,0.14268909445920425,50.013739957107646,7,4950.309828470672,1242,False,327310;327320;327331;327332;327390;327410;327420
7880,"Business, trade and technical schools, and computer and management training",0.13166867124888051,2,0.015751118157759775,45000.0,0.5293765146508042,47.02864066975105,7,4393.846719462665,1115,False,611410;611420;611430;611511;611512;611513;611519
9090,Other personal services,0.12923158010130262,3,0.02307604735977692,20000.0,0.681967898053689,46.18973747432192,5,7222.143479844493,5401,False,812910;812921;812922;812930;812990
6170,Truck transportation,0.12790620778441078,4,0.024549857578023918,50000.0,0.1257079684653419,49.40382901115533,6,30801.275511684453,18254,False,484110;484121;484122;484210;484220;484230
7190,"Commercial and industrial machinery and equipment, and nonfinancial intangible assets rental and leasing",0.1272375907609271,4,0.023141865540944263,70000.0,0.1962338316009811,50.43228646528238,5,3934.8319975433947,1233,False,532411;532412;532420;532490;533110
3570,Motor vehicles and motor vehicle equipment manufacturing,0.12392790192007641,4,0.027149488960571604,56000.0,0.26156504563429434,50.15177517879133,14,31543.510705458117,13736,False,336110;336120;336211;336212;336213;336214;336310;336320;336330;336340;336350;336360;336370;336390
1280,"Seafood and other miscellaneous foods, n.e.c.",0.11963900930151915,3,0.02138631916124699,48000.0,0.35328449525036226,49.23205602962486,9,7044.293298763406,2411,False,311710;311911;311919;311920;311930;311941;311942;311991;311999
7470,"Advertising, public relations, and related services",0.1119208722468848,4,0.02055923619309289,73000.0,0.5321602068885011,49.845616340360316,8,9478.189364513903,6204,False,541810;541820;541830;541840;541850;541860;541870;541890
7790,Waste management and remediation services,0.10700625656408869,3,0.0157630430523879,50000.0,0.18689535623132605,49.74324863456999,11,10069.20115793446,5263,False,562111;562112;562119;562211;562212;562213;562219;562910;562920;562991;562998
7590,Business support services,0.10271678954413893,4,0.01561376313960865,36000.0,0.6013837300811541,48.5766364907743,10,15815.431000835793,7275,False,561410;561421;561422;561431;561439;561440;561450;561491;561492;561499
7780,Other administrative and other support services,0.10217182559195251,4,0.01830306060239149,45000.0,0.48144860719133076,48.66720167180128,5,21266.00925954907,4294,False,561110;561210;561910;561920;561990
9470,"Justice, public order, and safety activities",0.09692094289370143,4,0.01646154182223889,67000.0,0.3483231860261235,50.62756718569123,7,34756.53604134844,28411,False,922110;922120;922130;922140;922150;922160;922190
9570,Administration of economic programs and space research and technology,0.09314237144211535,3,0.02175085959023064,73000.0,0.43431233981442496,50.80543622015329,5,7612.052243653469,6084,False,926110;926120;926130;926140;926150
7290,"Architectural, engineering, and related services",0.09300890957155925,4,0.0175991531473025,80000.0,0.2664280327536891,49.84616517069225,8,30825.713013734065,18175,False,541310;541320;541330;541340;541350;541360;541370;541380
6970,"Securities, commodities, funds, trusts, and other financial investments",0.09196576965553592,4,0.020819147327573853,100000.0,0.40799865235109267,50.516437139505626,13,21058.687831290747,14411,False,523150;523160;523210;523910;523940;523991;523999;525110;525120;525190;525910;525920;525990
7680,Investigation and security services,0.09183784639603901,4,0.015656885117095762,37900.0,0.26572288550906475,48.72351722238495,5,18958.619611955517,7720,False,561611;561612;561613;561621;561622
3980,"Miscellaneous manufacturing, n.e.c.",0.09039822059337592,4,0.017864985748435935,45000.0,0.3503169902548798,49.558364065085335,9,5389.792394624348,5179,False,339910;339940;339950;339991;339992;339993;339994;339995;339999
8290,"Residential care facilities, except skilled nursing facilities",0.08139785629358812,3,0.016579986345100734,33000.0,0.7391303456896375,47.99352677199238,5,35419.749033516004,8972,False,623210;623220;623311;623312;623990
4470,Grocery and related product merchant wholesalers,0.07960104123408321,4,0.010710299613541675,50000.0,0.2874192759422794,49.98751216389911,9,15520.523415012132,6875,False,424410;424420;424430;424440;424450;424460;424470;424480;424490
6890,Nondepository credit intermediation and related activities,0.07803863450456539,4,0.015451607753165033,79000.0,0.4779073624602802,50.586486295422866,8,18170.89307288546,10442,False,522210;522220;522291;522292;522299;522310;522320;522390
1170,Dairy product manufacturing,0.07783724911584664,3,0.01618516227520939,52000.0,0.2852446152180972,49.69525246238771,5,4750.490588694876,1614,False,311511;311512;311513;311514;311520
3875,Miscellaneous wood product manufacturing,0.07774592936797067,3,0.014274175956232414,42000.0,0.2088863189970079,49.875222570993266,5,4225.261884431733,2194,False,321911;321912;321918;321920;321999
0490,Support activities for mining,0.07278611800656416,4,0.011751062066431561,75000.0,0.14010764203531317,48.78030864706044,5,6549.99460255204,3499,False,213111;213112;213113;213114;213115
8770,"Automotive repair and maintenance, except car washes",0.07090698765385513,3,0.011254824035670212,38400.0,0.1030926889517998,49.483543721376726,6,15720.20878609431,12207,False,811111;811114;811121;811122;811191;811198
1270,"Bakeries and tortilla manufacturing, except retail bakeries",0.06485278479717727,4,0.008217349578913237,37500.0,0.4583194136026883,48.79036885648594,5,5316.048144579422,1822,False,311812;311813;311821;311824;311830
4170,Professional and commercial equipment and supplies merchant wholesalers,0.06372609499003146,4,0.012453931111249154,60000.0,0.3844515163838098,50.394834333809634,7,14291.434694224783,2556,False,423410;423420;423430;423440;423450;423460;423490
2370,Plastics product manufacturing,0.06266149086632034,3,0.014058487797233196,48000.0,0.31111465344521,50.11316932937203,11,13603.925069285018,3594,False,326111;326112;326113;326121;326122;326130;326140;326150;326160;326191;326199
3895,Furniture and related product manufacturing,0.0625477835427494,3,0.015080851039947317,40000.0,0.26687639905620425,49.94075140661867,11,9120.067645622865,4064,False,337110;337121;337122;337126;337127;337211;337212;337214;337215;337910;337920
6290,Support activities for transportation,0.06097566865477752,4,0.012409511696088595,49000.0,0.27386126914611203,49.33429307230248,13,18183.86672719017,7832,False,488111;488119;488190;488210;488310;488320;488330;488390;488410;488490;488510;488991;488999
6481,"Periodical, book, and directory and mailing list, and other publishers",0.0607694557831384,4,0.007108363234928041,60000.0,0.6010735746738971,49.71732253651864,5,4269.996551589913,1713,False,513120;513130;513140;513191;513199
8180,Other health care services,0.059767066276011645,4,0.010801417184912784,50000.0,0.6743192313245171,49.47868752841699,5,13027.3098440334,12843,False,621511;621512;621910;621991;621999
2870,"Architectural and structural metals, and boiler, tank, and shipping container manufacturing",0.05149262531507021,3,0.011083870754533678,50000.0,0.17918605019146175,50.02898825912212,10,11060.056227149093,3080,False,332311;332312;332313;332321;332322;332323;332410;332420;332431;332439
2590,Other nonmetallic mineral product manufacturing,0.049006732333285535,3,0.009919294885459477,48400.0,0.2244263029518642,50.17792075265071,5,2203.362086735463,751,False,327910;327991;327992;327993;327999
1070,"Animal food, grain and oilseed milling",0.04876065009601561,4,0.008349588463369494,60000.0,0.3032793749925224,50.2322721127502,9,5642.42213728912,1723,False,311111;311119;311211;311212;311213;311221;311224;311225;311230
8090,Outpatient care centers,0.04301224711478802,3,0.00763196320206768,48000.0,0.7686981264042635,49.26504153065063,6,22684.314287584184,24389,False,621410;621420;621491;621492;621493;621498
0570,"Electric power generation, transmission and distribution",0.04020354082444146,3,0.007172778090215537,94000.0,0.23249282145274305,50.827454555891215,10,11346.503939016151,7603,False,221111;221112;221113;221114;221115;221116;221117;221118;221121;221122
2180,"Pesticide, fertilizer, and other agricultural chemical manufacturing",0.03992688752201336,3,0.008150098913319588,72000.0,0.2725104062705387,50.077310678902656,5,1647.504474460398,416,False,325311;325312;325314;325315;325320
2780,Forging and stamping,0.03977885677955873,3,0.009828779941527054,50000.0,0.271396347546957,50.62516809092092,5,3220.0748319418785,491,False,332111;332112;332114;332117;332119
2770,Foundries,0.039674322721280554,3,0.007239135235786654,50000.0,0.18016299635859198,49.48684521651402,6,3838.494626715875,753,False,331511;331512;331513;331523;331524;331529
3291,"Machinery manufacturing, n.e.c. or not specified",0.03950998291772098,3,0.00954918897015344,59000.0,0.23572972954132745,50.330853247792845,20,14834.567039465197,8775,False,333241;333242;333243;333248;333413;333414;333415;333912;333914;333921;333922;333923;333924;333991;333992;333993;333994;333995;333996;333998
4270,"Machinery, equipment, and supplies merchant wholesalers",0.03925891600910295,4,0.00511026371276257,60000.0,0.2715070596935841,50.56656626591371,6,14293.557028814776,3577,False,423810;423820;423830;423840;423850;423860
2980,Miscellaneous fabricated metal product manufacturing,0.03894745509952272,3,0.008335701142921965,50000.0,0.21221142249024477,50.384794608017025,10,7926.362839015241,3581,False,332510;332613;332618;332911;332912;332913;332919;332991;332996;332999
6070,Air transportation,0.03722517773916329,4,0.007201926823218432,65000.0,0.35453371704563835,49.38272932108577,5,10234.033793314458,6650,False,481111;481112;481211;481212;481219
3380,"Navigational, measuring, electromedical, and control instruments manufacturing",0.034851495193079,3,0.008263029203554421,75000.0,0.2890024672172917,50.8070323260965,9,10702.893835103616,2094,False,334510;334511;334512;334513;334514;334515;334516;334517;334519
6991,Insurance carriers,0.03369658945401321,4,0.007379381650908778,65000.0,0.6327207571009568,50.600349267212934,6,23915.59969778455,18090,False,524113;524114;524126;524127;524128;524130
3490,"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",0.03333496994492913,3,0.0069440535390367115,59000.0,0.2749034183878843,50.49351766175786,14,9770.288149561922,3752,False,335131;335132;335139;335311;335312;335313;335314;335910;335921;335929;335931;335932;335991;335999
3960,Medical equipment and supplies manufacturing,0.031028065960210724,3,0.004915986144424629,68000.0,0.4198294959040848,50.53554061007515,5,6857.475584320576,7880,False,339112;339113;339114;339115;339116
6180,"Transit and ground passenger transportation, except taxi and limousine service",0.03021613025897082,2,0.007770868013448294,40000.0,0.3883714762049106,48.66355524401334,9,17675.83459703278,4942,False,485111;485112;485113;485119;485210;485410;485510;485991;485999
3390,"Semiconductor, magnetic and optical media, and other electronic component manufacturing",0.02489004360757952,3,0.006032683030606452,90000.0,0.29116244804333175,50.62820443056608,7,9842.343933001988,7393,False,334412;334413;334416;334417;334418;334419;334610
3170,Metalworking machinery manufacturing,0.024837776730854313,3,0.004188435230677085,59000.0,0.16311113963274324,50.5666810293457,5,3842.003299613507,1154,False,333511;333514;333515;333517;333519
2290,"Basic chemical manufacturing, and other chemical product and preparation manufacturing",0.021048847539898972,3,0.005478673511996286,80000.0,0.2446861423644751,50.645941620051815,12,8350.483167908213,4266,False,325110;325120;325130;325180;325193;325194;325199;325910;325920;325991;325992;325998
0190,Forestry except logging,,,,60000.0,0.3535313649825002,49.35137754644171,2,192.14259166663385,588,False,113110;113210
0270,Logging,,,,37000.0,0.06944800040964719,49.04721183880383,1,1051.6426076833527,902,False,113310
0280,"Fishing, hunting and trapping",,,,28800.0,0.13659862142099682,43.932065217391305,4,347.0754608414333,475,False,114111;114112;114119;114210
0370,Oil and gas extraction,,,,83000.0,0.18536285979107692,49.68593902652872,2,3886.368178173473,798,False,211120;211130
0380,Coal mining,,,,80000.0,0.07156884623967864,50.74112921222941,2,2843.5119363395224,485,False,212114;212115
0390,Metal ore mining,,,,81000.0,0.15134379844115015,49.66713970700609,4,4290.648073085243,504,False,212210;212220;212230;212290
0590,"Electric and gas, and other combinations",,,,92000.0,0.2969083607606157,50.51113406352852,1,2391.9855818743563,1246,False,221210
0670,"Water supply and irrigation systems, and steam and air-conditioning supply",,,,56000.0,0.23090077317704147,50.623313699410986,2,3278.2280238924836,2853,False,221310;221330
0680,Sewage treatment facilities,,,,65000.0,0.19312619533858472,50.85329346170054,1,1276.5930493273543,1314,False,221320
1180,Animal slaughtering and processing,,,,40000.0,0.3561742493930977,49.32952888226768,4,13571.088217717168,3939,False,311611;311612;311613;311615
1190,Retail bakeries,,,,22200.0,0.6619992066640222,46.15107596191987,1,1783.7043390514632,1853,False,311811
1390,Tobacco manufacturing,,,,60000.0,0.3382315521628499,51.16889312977099,1,451.9117647058824,145,False,312230
1470,"Fiber, yarn, and thread mills",,,,40000.0,0.33231600976630626,49.1260899895361,1,916.9704724409448,109,False,313110
1480,"Fabric mills, except knit fabric mills",,,,40000.0,0.4529490169943352,50.12349216927691,3,1666.5986759650261,932,False,313210;313220;313230
1490,Textile and fabric finishing and fabric coating mills,,,,38000.0,0.34536725876140184,50.37868458953432,2,825.763057506749,92,True,313310;313320
1570,Carpet and rug mills,,,,44900.0,0.3746725335096778,49.759696823257116,1,1619.477088948787,389,False,314110
1590,"Textile product mills, except carpet and rug",,,,31000.0,0.5116055633502105,48.466250838772645,4,1693.32436550881,666,False,314120;314910;314994;314999
1670,"Knit fabric mills, and apparel knitting mills",,,,28000.0,0.6885197850512946,48.46204201270152,2,865.76930412588,96,True,313240;315120
1691,"Cut and sew, and apparel accessories and other apparel manufacturing",,,,36000.0,0.6010097064038225,49.1103284550891,3,1957.1098332407782,1583,False,315210;315250;315990
1770,Footwear manufacturing,,,,45000.0,0.5261714374010121,50.2495461042222,1,409.3666061705989,230,False,316210
1790,"Leather and hide tanning and finishing, and other leather and allied product manufacturing",,,,36000.0,0.5103867050175775,50.62196959320641,2,431.8600426652089,237,False,316110;316990
1870,"Pulp, paper, and paperboard mills",,,,65000.0,0.20328520839008443,50.4929937346772,3,3251.9356203979196,1919,False,322110;322120;322130
1880,Paperboard container manufacturing,,,,51000.0,0.2540465167146659,50.26266814917429,3,4094.5674563199445,985,False,322211;322212;322219
