state_name,sector_label,excessQ4
Alabama,Accommodation/food,0.013384137322917124
Alabama,Admin/waste,0.011261802271912558
Alabama,Agriculture,0.07814689293545975
Alabama,Arts/entertain,0.04504358357486403
Alabama,Construction,0.030563731831420398
Alabama,Education,0.004639178778840203
Alabama,Finance,0.029097124671751046
Alabama,Healthcare,0.0009811859765747632
Alabama,Information,0.009307042117627668
Alabama,Management,0.02993868241588375
Alabama,Mfg-chem,-0.0041274696935373
Alabama,Mfg-food,-0.00016552306363217095
Alabama,Mfg-metals,-0.004283273662018824
Alabama,Mining,0.008917972179445094
Alabama,Other services,0.0016194412646007717
Alabama,Prof services,0.02302805672235472
Alabama,Public admin,0.016332550590388035
Alabama,Real estate,0.011257519343744875
Alabama,Retail-gen,0.015840431865157885
Alabama,Retail-spec,0.005955143707581411
Alabama,Transportation,0.0125836388407049
Alabama,Utilities,-0.018371299448141566
Alabama,Warehousing,0.03998637088853397
Alabama,Wholesale,0.00814719775603504
Alaska,Accommodation/food,-0.0017146419097094912
Alaska,Admin/waste,0.02699526222418899
Alaska,Agriculture,0.14497754070235755
Alaska,Arts/entertain,-0.11410387348251592
Alaska,Construction,0.1799717707551425
Alaska,Education,-0.02127720276731539
Alaska,Finance,0.010597654641290448
Alaska,Healthcare,-0.0006420737118897618
Alaska,Information,-0.0014127197809857015
Alaska,Management,0.03268170897897001
Alaska,Mfg-chem,0.12892240252823306
Alaska,Mfg-food,0.07051525374606747
Alaska,Mfg-metals,-0.019852644526012708
Alaska,Mining,0.1389625335765703
Alaska,Other services,0.009458507804146424
Alaska,Prof services,0.046624266214819535
Alaska,Public admin,-0.015298238003462522
Alaska,Real estate,0.021284427163734614
Alaska,Retail-gen,0.014550442862937355
Alaska,Retail-spec,0.005733585316003883
Alaska,Transportation,0.041612082361796
Alaska,Utilities,0.046691576524356966
Alaska,Warehousing,0.018504629330401538
Alaska,Wholesale,-0.007688645807739726
Arizona,Accommodation/food,0.005287277266164391
Arizona,Admin/waste,0.01614915221390396
Arizona,Agriculture,0.051247750368587024
Arizona,Arts/entertain,0.03267035908089763
Arizona,Construction,0.014931972557046383
Arizona,Education,0.013514228664485775
Arizona,Finance,0.023116681871805076
Arizona,Healthcare,0.008351017930805341
Arizona,Information,0.018731066000757347
Arizona,Management,0.021439140786490955
Arizona,Mfg-chem,0.003923192339966777
Arizona,Mfg-food,0.019133015625644078
Arizona,Mfg-metals,0.004428071557567719
Arizona,Mining,0.006652797423095201
Arizona,Other services,0.01822570056103792
Arizona,Prof services,0.03886476948178669
Arizona,Public admin,0.002445155099563607
Arizona,Real estate,0.028328650857751016
Arizona,Retail-gen,0.018967577039259356
Arizona,Retail-spec,0.013003101203684328
Arizona,Transportation,0.012180836731370624
Arizona,Utilities,-0.004290047750702876
Arizona,Warehousing,0.012612626874900707
Arizona,Wholesale,0.0060423998592295455
Arkansas,Accommodation/food,0.03751912669116541
Arkansas,Admin/waste,0.020888036606375594
Arkansas,Agriculture,0.09732945210118082
Arkansas,Arts/entertain,0.011096733260556576
Arkansas,Construction,0.029255843585478655
Arkansas,Education,0.011042726792380674
Arkansas,Finance,0.004091261672538197
Arkansas,Healthcare,0.00241041917836286
Arkansas,Information,0.01187723745436081
Arkansas,Management,0.006923757685382079
Arkansas,Mfg-chem,-0.004569200303992996
Arkansas,Mfg-food,0.002914409008078896
Arkansas,Mfg-metals,-0.006261943062843251
Arkansas,Mining,0.007551970901939392
Arkansas,Other services,-0.0034413684371483112
Arkansas,Prof services,0.03159686538247131
Arkansas,Public admin,0.004441541017375393
Arkansas,Real estate,0.024192920907258726
Arkansas,Retail-gen,0.013785454424981263
Arkansas,Retail-spec,-0.0014198086209621318
Arkansas,Transportation,0.00410361674476903
Arkansas,Utilities,-0.00990116297450821
Arkansas,Warehousing,0.09403871591032452
Arkansas,Wholesale,0.010700215393003087
California,Accommodation/food,0.040180885682378445
California,Admin/waste,0.023662524759015514
California,Agriculture,0.1724818477584617
California,Arts/entertain,0.03949649601036553
California,Construction,0.031104134327585412
California,Education,-0.009034829901698975
California,Finance,0.01577183220418572
California,Healthcare,0.006197969691982421
California,Information,0.01805388026717291
California,Management,0.01887248553203816
California,Mfg-chem,0.004971214816193919
California,Mfg-food,0.034404616982817084
California,Mfg-metals,0.0042939449524005595
California,Mining,0.02148437035391473
California,Other services,0.005000077218814168
California,Prof services,0.03168978258496878
California,Public admin,0.0031242412316384066
California,Real estate,0.029366677588977902
California,Retail-gen,0.021055500675314247
California,Retail-spec,0.01885213566695571
California,Transportation,0.026044287082442785
California,Utilities,0.00041154610543419387
California,Warehousing,0.058760380076722345
California,Wholesale,0.013163614903611497
Colorado,Accommodation/food,0.03449537555019106
Colorado,Admin/waste,0.025122468417154275
Colorado,Agriculture,0.1144303071242324
Colorado,Arts/entertain,0.034272120891927944
Colorado,Construction,0.05489965053413582
Colorado,Education,0.00929692716869741
Colorado,Finance,0.017323797812166013
Colorado,Healthcare,0.011734099867013672
Colorado,Information,0.01537641478986824
Colorado,Management,0.014194288548994497
Colorado,Mfg-chem,0.006914076833789565
Colorado,Mfg-food,0.014318392906414032
Colorado,Mfg-metals,0.007290487878084107
Colorado,Mining,0.048342270273758176
Colorado,Other services,0.009671385064635498
Colorado,Prof services,0.03460445781705571
Colorado,Public admin,0.013275908617732746
Colorado,Real estate,0.026546712088359566
Colorado,Retail-gen,0.006722496134804462
Colorado,Retail-spec,0.007021405871765853
Colorado,Transportation,0.01884939438843888
Colorado,Utilities,0.006728432891517961
Colorado,Warehousing,0.01168140949965983
Colorado,Wholesale,0.008816552543008779
Connecticut,Accommodation/food,0.05557981426419686
Connecticut,Admin/waste,0.043661091204786825
Connecticut,Agriculture,0.17294478537437727
Connecticut,Arts/entertain,0.055589293721623606
Connecticut,Construction,0.11098337798503902
Connecticut,Education,0.00333622823286457
Connecticut,Finance,0.009772705723660322
Connecticut,Healthcare,0.0009147050607055104
Connecticut,Information,0.010090725057912892
Connecticut,Management,0.02366724649261233
Connecticut,Mfg-chem,0.01881775134362303
Connecticut,Mfg-food,0.018853107535183926
Connecticut,Mfg-metals,-0.0004681396908003668
Connecticut,Mining,0.14419803253580457
Connecticut,Other services,0.005073167294977673
Connecticut,Prof services,0.036305583667302015
Connecticut,Public admin,-0.022363085744162934
Connecticut,Real estate,0.02863660096268376
Connecticut,Retail-gen,0.027294415925674855
Connecticut,Retail-spec,0.009635540487840568
Connecticut,Transportation,0.03206351660080714
Connecticut,Utilities,-0.0022771278433736273
Connecticut,Warehousing,0.04358260764413217
Connecticut,Wholesale,0.009462155876191588
DC,Accommodation/food,0.04229116935142707
DC,Admin/waste,0.03536508542218887
DC,Arts/entertain,0.0662305870438308
DC,Construction,0.055307691650376765
DC,Education,-0.048643014701959524
DC,Finance,0.0032108043748849666
DC,Healthcare,0.0031643014356801578
DC,Information,0.004425846273047065
DC,Management,-0.009051462345977656
DC,Mfg-chem,0.013197114943010894
DC,Mfg-food,-0.01375924301013713
DC,Mfg-metals,-0.08274690183122808
DC,Other services,0.01161445809603033
DC,Prof services,0.03390556723930384
DC,Public admin,-0.009257792198638379
DC,Real estate,0.02950778522924889
DC,Retail-gen,0.01045760006402115
DC,Retail-spec,0.007733111327688073
DC,Transportation,0.020032401253915713
DC,Utilities,-0.021455117494562238
DC,Warehousing,0.0031954929917326087
DC,Wholesale,0.015431940366446562
Delaware,Accommodation/food,0.07244151570100611
Delaware,Admin/waste,0.04073021274828935
Delaware,Agriculture,0.09864894729129094
Delaware,Arts/entertain,0.08682644593761202
Delaware,Construction,0.03782546123948131
Delaware,Education,-0.011332294317140744
Delaware,Finance,0.010361637871618465
Delaware,Healthcare,0.0010559915749371643
Delaware,Information,0.02115575019940308
Delaware,Management,0.01762898485333849
Delaware,Mfg-chem,0.006531100605095353
Delaware,Mfg-food,0.03146041806658596
Delaware,Mfg-metals,-0.005681301374029176
Delaware,Other services,0.007267154640769326
Delaware,Prof services,0.016287026843987376
Delaware,Public admin,-0.008828622331819585
Delaware,Real estate,0.032166334758686736
Delaware,Retail-gen,0.009114893195011589
Delaware,Retail-spec,0.02439729779602185
Delaware,Transportation,0.00780262456731954
Delaware,Utilities,-0.0028685062968697972
Delaware,Warehousing,0.02678222648848922
Delaware,Wholesale,0.008614267523031502
Florida,Accommodation/food,-0.01293028278283296
Florida,Admin/waste,0.021516365484658084
Florida,Agriculture,0.03001509330717055
Florida,Arts/entertain,0.004846036700700826
Florida,Construction,0.02203482614571494
Florida,Education,0.001313491845659892
Florida,Finance,0.02845919964352282
Florida,Healthcare,0.003805309295173692
Florida,Information,0.028203765985203997
Florida,Management,0.023241351051188675
Florida,Mfg-chem,0.0016396057878454214
Florida,Mfg-food,0.00863981432989927
Florida,Mfg-metals,0.0050325459510893004
Florida,Mining,0.0047319177844559555
Florida,Other services,0.01898871979669331
Florida,Prof services,0.04073296523652547
Florida,Public admin,0.003512272940290457
Florida,Real estate,0.02283611511570909
Florida,Retail-gen,0.014228031077609376
Florida,Retail-spec,0.012943084140501387
Florida,Transportation,0.010305467398063586
Florida,Utilities,-0.005300763115496278
Florida,Warehousing,0.028033858573332963
Florida,Wholesale,0.014317301821723147
Georgia,Accommodation/food,0.02706274270443455
Georgia,Admin/waste,0.023300876944553076
Georgia,Agriculture,0.06935972921063338
Georgia,Arts/entertain,0.03485830664022512
Georgia,Construction,0.019742487543040966
Georgia,Education,0.008868416008011746
Georgia,Finance,0.023502920345711213
Georgia,Healthcare,0.006262307456573541
Georgia,Information,0.034083943187353215
Georgia,Management,0.025067995950002798
Georgia,Mfg-chem,-0.004108408553706703
Georgia,Mfg-food,0.00703277430515445
Georgia,Mfg-metals,-0.0011143460969856873
Georgia,Mining,-0.002062641259290594
Georgia,Other services,0.017685985850349462
Georgia,Prof services,0.028787222170328346
Georgia,Public admin,-0.0018572865136698398
Georgia,Real estate,0.02434794011411551
Georgia,Retail-gen,0.021325424388922813
Georgia,Retail-spec,0.005543884629005126
Georgia,Transportation,0.010667842631686983
Georgia,Utilities,-0.0026738956585955864
Georgia,Warehousing,0.07096656093021025
Georgia,Wholesale,0.01464434070200565
Hawaii,Accommodation/food,-0.005774030706416253
Hawaii,Admin/waste,0.014654862402069146
Hawaii,Agriculture,0.007836660163181299
Hawaii,Arts/entertain,0.021149653344115775
Hawaii,Construction,0.028190108177403937
Hawaii,Education,0.018848304340531533
Hawaii,Finance,0.028082318802416333
Hawaii,Healthcare,0.002869342022372251
Hawaii,Information,0.007685885044742865
Hawaii,Management,0.044121241814548066
