state_name,sector_label,peak_excess
Alabama,Accommodation/food,0.06773220808727932
Alabama,Admin/waste,0.03206398891953059
Alabama,Agriculture,0.14311357431325822
Alabama,Arts/entertain,0.17310931649573671
Alabama,Construction,0.03572380347624963
Alabama,Education,0.07264177285441314
Alabama,Finance,0.03512344462941328
Alabama,Healthcare,0.02560958693817551
Alabama,Information,0.032403099024807244
Alabama,Management,0.03533085067440059
Alabama,Mfg-chem,0.020619019824252405
Alabama,Mfg-food,0.04602921357002589
Alabama,Mfg-metals,0.023724705366820746
Alabama,Mining,0.021809566601257616
Alabama,Other services,0.04322423689690936
Alabama,Prof services,0.04134462540068297
Alabama,Public admin,0.03858267401491567
Alabama,Real estate,0.0458113704925207
Alabama,Retail-gen,0.0407601810298825
Alabama,Retail-spec,0.03822306481083387
Alabama,Transportation,0.048991563564326886
Alabama,Utilities,0.02930346880076164
Alabama,Warehousing,0.04163372204285618
Alabama,Wholesale,0.029483627097604503
Alaska,Accommodation/food,0.17244853500311125
Alaska,Admin/waste,0.10728534059451926
Alaska,Agriculture,0.23101434977176113
Alaska,Arts/entertain,0.17703024498911357
Alaska,Construction,0.18696922455660847
Alaska,Education,0.16530688435738658
Alaska,Finance,0.03954160268287338
Alaska,Healthcare,0.0363971993388928
Alaska,Information,0.044038440781043645
Alaska,Management,0.06386820637937218
Alaska,Mfg-chem,0.1516694104311343
Alaska,Mfg-food,0.14154522407163564
Alaska,Mfg-metals,0.06870925244892107
Alaska,Mining,0.14551074763857255
Alaska,Other services,0.10009775500107938
Alaska,Prof services,0.08785789066242194
Alaska,Public admin,0.06299107268686878
Alaska,Real estate,0.09213712876910643
Alaska,Retail-gen,0.09032480072268757
Alaska,Retail-spec,0.10704569001208898
Alaska,Transportation,0.10935474312955108
Alaska,Utilities,0.0764446053298636
Alaska,Warehousing,0.0342261646210804
Alaska,Wholesale,0.05199891035833415
Arizona,Accommodation/food,0.11038609552319835
Arizona,Admin/waste,0.0312909879987357
Arizona,Agriculture,0.1287058018650763
Arizona,Arts/entertain,0.11788879954639203
Arizona,Construction,0.027019173632717098
Arizona,Education,0.08145515406767567
Arizona,Finance,0.02916728089388577
Arizona,Healthcare,0.019429293603455976
Arizona,Information,0.053068828306167395
Arizona,Management,0.0256978453407886
Arizona,Mfg-chem,0.02781866608493167
Arizona,Mfg-food,0.049053547426011264
Arizona,Mfg-metals,0.0285881420543731
Arizona,Mining,0.03521505080040167
Arizona,Other services,0.03520026854039566
Arizona,Prof services,0.050602139608824766
Arizona,Public admin,0.02622180096215487
Arizona,Real estate,0.051322487648141624
Arizona,Retail-gen,0.03654945434219178
Arizona,Retail-spec,0.044894214561574525
Arizona,Transportation,0.04375812798727588
Arizona,Utilities,0.02597108424910971
Arizona,Warehousing,0.07943076201869857
Arizona,Wholesale,0.019254883700650156
Arkansas,Accommodation/food,0.11070004547236427
Arkansas,Admin/waste,0.04464253062831886
Arkansas,Agriculture,0.13658086362448657
Arkansas,Arts/entertain,0.21253283275014223
Arkansas,Construction,0.040697587813941144
Arkansas,Education,0.08332578217431275
Arkansas,Finance,0.02458349422604813
Arkansas,Healthcare,0.02742433573314549
Arkansas,Information,0.029547445811598527
Arkansas,Management,0.014964831684959339
Arkansas,Mfg-chem,0.026775883492828653
Arkansas,Mfg-food,0.038054357273864366
Arkansas,Mfg-metals,0.028485916794705603
Arkansas,Mining,0.02028623676328554
Arkansas,Other services,0.06000961910603977
Arkansas,Prof services,0.0542126324699452
Arkansas,Public admin,0.038420480249077946
Arkansas,Real estate,0.06537719867694153
Arkansas,Retail-gen,0.03990819944803407
Arkansas,Retail-spec,0.05228309981665198
Arkansas,Transportation,0.03446194437290682
Arkansas,Utilities,0.019174372269213907
Arkansas,Warehousing,0.10006699680942024
Arkansas,Wholesale,0.026288227299821672
California,Accommodation/food,0.06637911421418728
California,Admin/waste,0.028407939487162435
California,Agriculture,0.17322123980230997
California,Arts/entertain,0.13540752050782098
California,Construction,0.03486659238078129
California,Education,0.10277259081154302
California,Finance,0.027767140269023435
California,Healthcare,0.018727837795913412
California,Information,0.031061945010906245
California,Management,0.023031059519267455
California,Mfg-chem,0.01682993820537446
California,Mfg-food,0.043948129066919875
California,Mfg-metals,0.01287088623501758
California,Mining,0.027343629200650997
California,Other services,0.03512546983239753
California,Prof services,0.048832390461563326
California,Public admin,0.025320370679236027
California,Real estate,0.04677380732013028
California,Retail-gen,0.02615046923489511
California,Retail-spec,0.04205665208021985
California,Transportation,0.03226025618805235
California,Utilities,0.020176345262277736
California,Warehousing,0.06012258773169802
California,Wholesale,0.01685638469323126
Colorado,Accommodation/food,0.10876827352759381
Colorado,Admin/waste,0.047778271840471453
Colorado,Agriculture,0.13994458814662347
Colorado,Arts/entertain,0.15908869471299147
